City,Latitude,Longitude,Landmark,House of Worship,Pilgrimage,Archaeological Site,Shoreline ,Waterside ,Woods ,Hill Station,Urban Area,Province,State,id
Abdullapuram,12.78,79.67,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,abdullapuram,Tamil Nadu,ca882c2247c17c606a824fe81251ed7c
Abohar,30.15,74.2,Gurudwara,2,0,0,0,0,0,0,0,Abohar,Punjab,decd96e2a3db55f2261dc4ed62efeae2
Abu road,24.48,72.78,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,abu road,Rajasthan,f5a56de246d17055fc862851a3109d4b
adur,9.15,76.77,Museum Hindu Temple,3,0,16,0,0,0,0,0,adur,Kerala,a069d5abf6e07910c77ed85df8d32d9f
Agartala,24.38,92.16,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,Agartala,Tripura,e1964d641aa592715240a0b5e2b3f3e0
agonda,15.04,73.99,Museum Hindu Temple,3,0,16,0,0,0,0,0,agonda,Goa,f72d9d93e4a148ec82e265ba4e14190e
Agra,27.21,77.97,Monument Fort River Bank,0,0,15,0,22,0,0,0,Agra,Uttar Pradesh,22d9f988a5767f7b96cc31354773cb45
aguada,15.53,73.77,Museum Hindu Temple,3,0,16,0,0,0,0,0,aguada,Goa,04aa7b9737d2f3554b95d966deee115d
ahar,24.58,73.71,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,ahar,Rajasthan,faf6b8d30f91a142a93c6bc6f630f4b6
Ahmedabad,23.06,72.52,Garden Hindu Temple Mosque Museum Lake,6,0,16,0,24,28,0,0,Ahmedabad,Gujarat,82d86a7e18456582bae1d09668c795e2
Ahmednagar,19.1,74.75,Fort Museum,0,0,12,0,0,0,0,0,Ahmadnagar,Maharashtra,f4215dac325dccc0af58aae70ffdf20b
Aizawl,23.74,92.72,Museum Church,1,0,0,0,0,0,0,0,Aizawl,Mizoram,c425550619a925e6e52811ede3d8a787
ajanta,20.49,75.72,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,ajanta,Maharashtra,d97d4e2cf4d328be6e98a5041f5c5e4f
